Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto
25-0953,1,13.667,41.708,570.023236,B1L5M26,2 BEDROOM,L-504,BED / BA / BED,B1L5M26,2 BEDROOM,L-504,BED / BA / BED,X,,,X,,,X
25-0954,2,13.5,62.167,839.2545,B1L5M22,1 BEDROOM.M (ADA),L-501,KIT,B1L5M22,STUDIO-S,L-507,STUDIO,,,,,,,X
25-0955,3,13.5,69.667,940.5045,B1L5M25,STUDIO-S.M (ADA),L-503,STUDIO,B1L5M25,2 BEDROOM,L-504,KIT,X,,,,,,X
25-0956,4,13.5,36.417,491.6295,B1L5M21,1 BEDROOM.M (ADA),L-501,BED / BA,B1L5M21,1 BEDROOM.M (ADA),L-501,BED / BA,,,,X,,,X
25-0962,5,13.667,41.708,570.023236,B1L2M26,2 BEDROOM.C (HI),L-204,BED / BA,B1L2M26,2 BEDROOM.C (HI),L-204,BED / BA,X,,,X,,,
25-0963,6,13.5,63.167,852.7545,B1L2M24,"STAIR 2, IDF","L-232, L-239",COMMON,B1L2M24,STUDIO-S,L-205,STUDIO,,X,,,,,
25-0964,7,13.5,61.667,832.5045,B1L2M23,STUDIO-S,L-202,STUDIO,B1L2M23,STUDIO-S.C (HI),L-206,STUDIO,,,,,X,,
25-0965,8,13.5,69.667,940.5045,B1L2M25,STUDIO-S.M (ADA),L-203,STUDIO,B1L2M25,2 BEDROOM.C (HI),L-204,KIT,X,,,,,,
25-0966,9,9.833,43.25,425.27725,B1L2M18,"ELEVATOR, TRASH","L-238, L-234",COMMON,B1L2M18,"ELEVATOR, TRASH","L-238, L-234",COMMON,,,,X,,,
25-0967,10,13.5,35.917,484.8795,B1L2M15,STUDIO-S,L-209,STUDIO,B1L2M15,STUDIO-S,L-209,STUDIO,,,X,X,,,
25-0968,11,13.667,41.708,570.023236,B1L4M26,2 BEDROOM.C (HI),L-404,BED / BA / BED,B1L4M26,2 BEDROOM.C (HI),L-404,BED / BA / BED,X,,,X,,,
25-0969,12,13.5,61.667,832.5045,B1L3M23,STUDIO-S,L-302,STUDIO,B1L3M23,STUDIO-S.C (HI),L-306,STUDIO,,,,,X,,
25-0970,13,13.5,63.167,852.7545,B1L3M24,"STAIR 2, ELEC",L-303,COMMON,B1L3M24,STUDIO-S,L-305,STUDIO,,X,,,,,
