Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
22-0295,1,,,,B1L2M08,0A-1,208,KIT/BATH,B1L2M08,0A,202,KIT/BATH,,,,,,,
22-0296,2,,,,B1L2M12,3A,205,BED/BATH,B1L2M12,3A (M)(C),204,BED/BATH,,,,,,,
22-0297,3,,,,B1L2M13,3A,205,KIT,B1L2M13,3A (M)(C),204,KIT,,,,,,,
22-0298,4,,,,B1L2M14,3A,205,BED/BATH,B1L2M14,3A (M)(C),204,BED/BATH,,,,,,,
22-0350,5,,,,B1L4M01-B,2B-2,413,BED/BATH,B1L5M01,2B-1,512,BED/BATH,,,,,,,
22-0349,6,,,,B1L2M03-A,1A-1,211,KIT,B1L3M03-A,1A-1,311,KIT,,,,,,,
22-0347,7,,,,B1L4M03-B,CORRIDOR,CR4.1,CORRIDOR,B1L4M03-B,CORRIDOR,,,,,,,,,
22-0346,8,,,,B1L4M02-B,2B-2,413,KIT,B1L5M02,2B-1,512,KIT,,,,,,,
22-0344,9,,,,B1L4M03-A,1A-1,411,KIT,B1L4M02-A,2B-2,412,KIT,,,,,,,
22-0343,10,,,,B1L2M05-A,0A-1,210,KIT/BATH,B1L4M01-A,2B-2,412,BED/BATH,,,,,,,
22-0342,11,,,,B1L3M02,2B-2,312,KIT,B1L3M02,2B-2,313,KIT,,,,,,,
22-0341,12,,,,B1L2M03-B,CORRIDOR,CR2.1,CORRIDOR,B1L3M03-B,CORRIDOR,CR3.1,CORRIDOR,,,,,,,
22-0340,13,,,,B1L2M02,2B-2,212,KIT,B1L2M02,2B-2,213,KIT,,,,,,,
22-0338,14,,,,B1L3M01,2B-2,312,BED/BATH,B1L3M01,2B-2,313,BED/BATH,,,,,,,
22-0337,15,,,,B1L5M03-A,1A-1,511,KIT,B1L5M03-A,1A-1,511,,,,,,,,
22-0336,16,,,,B1L5M04,1A-1,511,BED/BATH,B1L5M04,,EL-5/5001,ELEV/FIRE,,,,,,,
22-0335,17,,,,B1L5M06,1A,509,BED/BATH,B1L5M06,1A,501,BED/BATH,,,,,,,
22-0334,18,,,,B1L4M06,1A,409,BED/BATH,B1L4M06,1A,401,BED/BATH,,,,,,,
22-0333,19,,,,B1L3M06,1A,309,BED/BATH,B1L3M06,1A,301,BED/BATH,,,,,,,
22-0332,20,,,,B1L2M06,1A,209,BED/BATH,B1L2M06,1A,201,BED/BATH,,,,,,,
22-0331,21,,,,B1L4M04,1A-1,411,BED/BATH,B1L4M04,,EL-4/4001,ELEV/FIRE,,,,,,,
22-0355,22,,,,B1L5M11,0A-1,506,KIT/BATH,B1L5M11,ST-2,ST-2,STAIR,,,,,,,
22-0329,23,,,,B1L2M01,2B-2,212,BED/BATH,B1L2M01,2B-2,213,BED/BATH,,,,,,,
22-0328,24,,,,B1L5M07,1A,509,KIT,B1L5M07,1A,501,KIT,,,,,,,
22-0327,25,,,,B1L4M07,1A,409,KIT,B1L4M07,1A,401,KIT,,,,,,,
22-0326,26,,,,B1L3M07,1A,309,KIT,B1L3M07,1A,301,KIT,,,,,,,
22-0325,27,,,,B1L3M04,1A-1,311,BED/BATH,B1L3M04,ELEV/FIRE,EL-3/3001,ELEV/FIRE,,,,,,,
22-0324,28,,,,B1L2M07,1A,209,KIT,B1L2M07,1A,201,KIT,,,,,,,
22-0323,29,,,,B1L5M08,0A-1,508,KIT/BATH,B1L5M08,0A,502,KIT/BATH,,,,,,,
22-0322,30,,,,B1L5M14,3A,505,BED/BATH,B1L5M14,3A (M)(C),504,BED/BATH,,,,,,,
22-0321,31,,,,B1L4M08,0A-1,408,KIT/BATH,B1L4M08,0A,402,KIT/BATH,,,,,,,
22-0320,32,,,,B1L2M04,1A-1,211,BED/BATH,B1L2M04,ELEV/FIRE,EL-2/2001,ELEV/FIRE,,,,,,,
22-0319,33,,,,B1L3M08,0A-1,308,KIT/BATH,B1L3M08,0A,302,KIT/BATH,,,,,,,
22-0318,34,,,,B1L5M09,1A,507,BED/BATH,B1L5M09,1A - (C),503,BED/BATH,,,,,,,
22-0348,35,,,,B1L4M11,0A-1,406,KIT/BATH,B1L4M11,STAIR 2,ST-2,STAIR,,,,,,,
22-0317,36,,,,B1L4M14,3A,405,BED/BATH,B1L4M14,3A (M),404,BED/BATH,,,,,,,
22-0316,37,,,,B1L5M05,0A-1,510,KIT/BATH,B1L5M05,0A,500,KIT/BATH,,,,,,,
22-0315,38,,,,B1L4M09,1A,407,BED/BATH,B1L4M09,1A - (C),403,BED/BATH,,,,,,,
22-0314,39,,,,B1L3M09,1A,307,BED/BATH,B1L3M09,1A - (C),303,BED/BATH,,,,,,,
22-0313,40,,,,B1L2M09,1A,207,BED/BATH,B1L2M09,1A - (C),203,BED/BATH,,,,,,,
22-0312,41,,,,B1L5M10,1A,507,KIT,B1L5M10,1A - (C),503,KIT,,,,,,,
22-0311,42,,,,B1L4M10,1A,407,KIT,B1L4M10,1A - (C),403,KIT,,,,,,,
22-0310,43,,,,B1L4M05,0A-1,410,KIT/BATH,B1L4M05,0A,400,KIT/BATH,,,,,,,
22-0309,44,,,,B1L3M10,1A,307,KIT,B1L3M10,1A - (C),303,KIT,,,,,,,
22-0308,45,,,,B1L3M14,3A,305,BED/BATH,B1L3M14,3A (M),304,BED/BATH,,,,,,,
22-0307,46,,,,B1L2M10,1A,207,KIT,B1L2M10,1A - (C),203,KIT,,,,,,,
22-0306,47,,,,B1L5M12,3A,505,BED/BATH,B1L5M12,3A (M)(C),504,BED/BATH,,,,,,,
22-0305,48,,,,B1L3M05,0A-1,310,KIT/BATH,B1L3M05,0A,300,KIT/BATH,,,,,,,
22-0304,49,,,,B1L4M12,3A,405,BED/BATH,B1L4M12,3A (M),404,BED/BATH,,,,,,,
22-0339,50,,,,B1L3M11,0A-1,306,KIT/BATH,B1L3M11,STAIR 2,ST-2,STAIR,,,,,,,
22-0303,51,,,,B1L3M12,3A,305,BED/BATH,B1L3M12,3A (M),304,BED/BATH,,,,,,,
22-0302,52,,,,B1L2M05-B,LAUNDRY,200,LDRY,B1L2M05-B,LAUNDRY,200,LDRY,,,,,,,
22-0301,53,,,,B1L5M13,3A,505,KIT,B1L5M13,3A (M)(C),504,KIT,,,,,,,
22-0300,54,,,,B1L4M13,3A,405,KIT,B1L4M13,3A (M),404,KIT,,,,,,,
22-0299,55,,,,B1L3M13,3A,305,KIT,B1L3M13,3A (M),304,KIT,,,,,,,
22-0407,56,,,,B2L5M01,2B-2,516,BED/BATH,B2L5M01,2B-2,515,BED/BATH,,,,,,,
22-0406,57,,,,B2L5M02,2B-2,516,KIT,B2L5M02,2B-2,515,KIT,,,,,,,
22-0405,58,,,,B2L4M02,2B-2,416,KIT,B2L4M02,2B-2,415,KIT,,,,,,,
22-0330,59,,,,B1L2M11,0A-1,206,KIT/BATH,B1L2M11,,ST-2,,,,,,,,
22-0403,60,,,,B2L3M02,2B-2,316,KIT,B2L3M02,2B-2,315,KIT,,,,,,,
22-0402,61,,,,B2L2M02,2B-2,216,KIT,B2L2M02,2B-2,215,KIT,,,,,,,
22-0401,62,,,,B2L5M04,"1B (M), TR",517,BED/TRASH,B2L5M04,CR5.2,,CORR/IDF/SE,,,,,,,
22-0400,63,,,,B2L4M01,2B-2,416,BED/BATH,B2L4M01,2B-2,415,BED/BATH,,,,,,,
22-0399,64,,,,B2L5M03,1B (M),517,KIT/BATH,B2L5M03,0A-2 (M)(C),514,KIT/BATH,,,,,,,
22-0398,65,,,,B2L4M03,1B (M)(C),417,KIT/BATH,B2L4M03,0A-2(M),414,KIT/BATH,,,,,,,
22-0397,66,,,,B2L3M03,1B (M)(C),317,KIT/BATH,B2L3M03,0A-2(M),314,KIT/BATH,,,,,,,
22-0396,67,,,,B2L2M03,1B(M),217,KIT/BATH,B2L2M03,0A-2(M),214,KIT/BATH,,,,,,,
22-0395,68,,,,B2L5M06,2A(M),518,LIV,B2L5M06,2A,525,LIV,,,,,,,
22-0394,69,,,,B2L3M01,2B-2,316,BED/BATH,B2L3M01,2B-2,315,BED/BATH,,,,,,,
22-0393,70,,,,B2L4M06,2A (M)(C),418,LIV,B2L4M06,2A,425,LIV,,,,,,,
22-0392,71,,,,B2L3M06,2A (M)(C),318,LIV,B2L3M06,2A,325,LIV,,,,,,,
22-0391,72,,,,B2L4M04,1B (M)(C),417,BR/TRASH,B2L4M04,"CORR, IDF",,CORR/IDF/SE,,,,,,,
22-0404,73,,,,B2L5M12,3A,521,BED/BATH,B2L5M12,ST-3,ST-3,STAIR,,,,,,,
22-0389,74,,,,B2L2M06,2A(M),218,LIV,B2L2M06,2A,225,LIV,,,,,,,
22-0388,75,,,,B2L5M07,2A(M),518,KIT/BED,B2L5M07,2A,525,KIT/BED,,,,,,,
22-0387,76,,,,B2L2M01,2B-2,216,BED/BATH,B2L2M01,2B-2,215,BED/BATH,,,,,,,
22-0386,77,,,,B2L4M07,2A (M)(C),418,KIT/BED,B2L4M07,2A,425,KIT/BED,,,,,,,
22-0385,78,,,,B2L3M07,2A (M)(C),318,KIT/BED,B2L3M07,2A,325,KIT/BED,,,,,,,
22-0384,79,,,,B2L2M07,2A(M),218,KIT/BED,B2L2M07,2A,225,KIT/BED,,,,,,,
22-0383,80,,,,B2L5M08,1A,519,BED/BATH,B2L5M08,1A,524,BED/BATH,,,,,,,
22-0382,81,,,,B2L2M04,"1B(M), TR",217,BED/TRASH,B2L2M04,,CR2.2,CORR/IDF/SE,,,,,,,
22-0381,82,,,,B2L4M08,1A,419,BED/BATH,B2L4M08,1A,424,BED/BATH,,,,,,,
22-0380,83,,,,B2L5M14,3A,521,BED/BATH,B2L5M14,2B,522,BED/BATH,,,,,,,
22-0379,84,,,,B2L3M08,1A,319,BED/BATH,B2L3M08,1A,324,BED/BATH,,,,,,,
22-0390,85,,,,B2L4M12,3A,421,BED/BATH,B2L4M12,,ST-3,STAIR,,,,,,,
22-0377,86,,,,B2L2M08,1A,219,KIT/BED,B2L2M08,1A,224,KIT/BED,,,,,,,
22-0376,87,,,,B2L3M04,"1B (M)(C), TRASH",317,BR/TRASH,B2L3M04,"CORR, IDF",CR3.2,CORR/IDF/SE,,,,,,,
22-0375,88,,,,B2L5M09,1A,519,KIT,B2L5M09,1A,524,KIT,,,,,,,
22-0374,89,,,,B2L4M09,1A,419,KIT,B2L4M09,1A,424,KIT,,,,,,,
22-0373,90,,,,B2L4M14,3A,421,BED/BATH,B2L4M14,2B,422,BED/BATH,,,,,,,
22-0372,91,,,,B2L3M09,1A,319,KIT,B2L3M09,1A,324,KIT,,,,,,,
22-0371,92,,,,B2L5M05,2A (M),518,BED/BATH,B2L5M05,2A,525,BED/BATH,,,,,,,
22-0370,93,,,,B2L2M09,1A,219,KIT,B2L2M09,1A,224,KIT,,,,,,,
22-0369,94,,,,B2L5M10,1A,520,BED/BATH,B2L5M10,1A,523,BED/BATH,,,,,,,
22-0368,95,,,,B2L4M10,1A,420,BED/BATH,B2L4M10,1A,423,BED/BATH,,,,,,,
22-0367,96,,,,B2L3M10,1A,320,BED/BATH,B2L3M10,1A,323,BED/BATH,,,,,,,
22-0366,97,,,,B2L4M05,2A (M)(C),418,BED/BATH,B2L4M05,2A,425,BED/BATH,,,,,,,
22-0365,98,,,,B2L3M14,3A,321,BED/BATH,B2L3M14,2B,322,BED/BATH,,,,,,,
22-0378,99,,,,B2L3M12,3A,321,BED/BATH,B2L3M12,,ST-3,STAIR,,,,,,,
22-0363,100,,,,B2L2M10,1A,220,BED/BATH,B2L2M10,1A,223,BED/BATH,,,,,,,
22-0362,101,,,,B2L5M11,1A,520,KIT,B2L5M11,1A,523,KIT,,,,,,,
22-0361,102,,,,B2L4M11,1A,420,KIT,B2L4M11,1A,423,KIT,,,,,,,
22-0360,103,,,,B2L3M05,2A (M)(C),318,BED/BATH,B2L3M05,2A,325,BED/BATH,,,,,,,
22-0359,104,,,,B2L3M11,1A,320,KIT,B2L3M11,1A,323,KIT,,,,,,,
22-0358,105,,,,B2L2M14,3A,221,BED/BATH,B2L2M14,2B,222,BED/BATH,,,,,,,
22-0357,106,,,,B2L2M11,1A,220,KIT,B2L2M11,1A,223,KIT,,,,,,,
22-0356,107,,,,B2L5M13,3A,521,KIT,B2L5M13,2B,522,KIT,,,,,,,
22-0354,108,,,,B2L2M05,2A (M),218,BED/BATH,B2L2M05,2A,225,BED/BATH,,,,,,,
22-0353,109,,,,B2L4M13,3A,421,KIT,B2L4M13,2B,422,KIT,,,,,,,
22-0352,110,,,,B2L3M13,3A,321,KIT,B2L3M13,2B,322,KIT,,,,,,,
22-0351,111,,,,B2L2M13,3A,221,KIT,B2L2M13,2B,222,KIT,,,,,,,
22-0364,112,,,,B2L2M12,3A,221,BED/BATH,B2L2M12,ST-3,ST-3,STAIR,,,,,,,
22-0345,113,,,,B1L5M03-B,CORRIDOR,CR5.1,CORRIDOR,B1L5M03-B,CORRIDOR,,,,,,,,,
