Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
21-0393 (2),1,,,,BRL1M03,S1-A,R109,,BRL1M03,S1-A,R108,,,,,,,,
21-0397 (2),2,,,,BRL2M06,S1-C,R203,,BRL2M06,S1-C (M)(ADA),R202,,,,,,,,
21-0402 (2,3,,,,BRL1M02,MECH,"R154, R152, R151",,BRL1M02,S1-A (C) (HI),R110,,,,,,,,
22-0004,4,,,,BRL1M07,NULL,N/A,,BRL1M07,"STAIR 2, ELEV","R1, R3",,,,,,,,
22-0005,5,,,,BRL5M08,2A (C) (HI),R503,,BRL5M08,NULL,N/A,,,,,,,,
22-0006,6,,,,BRL5M06,2A (C),R503,,BRL5M06,S1-C (M)(ADA),R502,,,,,,,,
22-0007,7,,,,BRL3M04,S1-A.1,R307,,BRL3M04,S1-A.1,R306,,,,,,,,
22-0008,8,,,,BRL1M11,STAIR 1,R2,,BRL2M11,STAIR 1,R2,,,,,,,,
22-0009,9,,,,BRL1M01,NULL,N/A,,BRL1M01,"TRASH /REC, STORAGE","R150, R171",,,,,,,,
22-0010,10,,,,BRL1M04,S1-A.1,R107,,BRL1M04,S1-A.1,R106,,,,,,,,
22-0011,11,,,,BRL2M09,Lobby/IDF,"R260, R200A",,BRL3M09,Lobby/IDF,"R360, R300A",,,,,,,,
22-0012,12,,,,BRL2M05,S1-A.1,R205,,BRL2M05,S1-A.1,R204,,,,,,,,
22-0013,13,,,,BRL3M11,STAIR 1,R2,,BRL4M11,STAIR 1,R2,,,,,,,,
22-0014,14,,,,BRL2M04,S1-A.1,R207,,BRL2M04,S1-A.1,R206,,,,,,,,
22-0015,15,,,,BRL2M03,S1-A,R209,,BRL2M03,S1-A,R208,,,,,,,,
22-0016,16,,,,BRL3M08,S1-E,R301,,BRL4M08,S1-E,R401,,,,,,,,
22-0017,17,,,,BRL2M02,S1-A,R211,,BRL2M02,S1-A (C) (HI),R210,,,,,,,,
22-0018,18,,,,BRL3M01,NULL,N/A,,BRL3M01,"S1-F.1 (M) (ADA), TRASH","R312, R370",,,,,,,,
22-0019,19,,,,BRL3M06,S1-C (M) (ADA),R303,,BRL3M06,S1-C,R302,,,,,,,,
22-0020,20,,,,BRL3M07,NULL,N/A,,BRL3M07,"STAIR 2, ELEV","R1, R3",,,,,,,,
22-0021,21,,,,BRL4M01,NULL,N/A,,BRL4M01,"S1-F.1 (M) (ADA), TRASH","R412, R470",,,,,,,,
22-0022,22,,,,BRL3M05,S1-A.1,R305,,BRL3M05,S1-A.1 (C) (HI),R304,,,,,,,,
