Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
21-0277,1,,,,BC1L1M05,B2,,,BC1L1M05,C1.1 (ADA),,,,,,,,,
21-0278,2,,,,BC1L1M07,B2,,,BC1L1M07,C1.1 (ADA),,,,,,,,,
21-0279,3,,,,BC1L1M06,B2,,,BC1L1M06,C1.1 (ADA),,,,,,,,,
21-0280,4,,,,BC1L1M08,BOILER,,,BC1L1M08,C1.1 (ADA),,,,,,,,,
21-0281,5,,,,BC1L3M07,C1,,,BC1L3M07,C1,,,,,,,,,
21-0282,6,,,,BC1L1M10,C2,,,BC1L1M10,C1B.1 (ADA),,,,,,,,,
21-0283,7,,,,BC1L2M07,C1,,,BC1L2M07,C1,,,,,,,,,
21-0284,8,,,,BC1L3M09,STAIR,,,BC1L3M09,C1B,,,,,,,,,
21-0285,9,,,,BC1L1M11,C2,,,BC1L1M11,C1B.1 (ADA),,,,,,,,,
21-0286,10,,,,BC1L2M11,C2,,,BC1L2M11,C1B,,,,,,,,,
21-0287,11,,,,BC1L3M11,C2,,,BC1L3M11,C1B,,,,,,,,,
21-0288,12,,,,BC1L1M12,C2,,,BC1L1M12,C1B.1 (ADA),,,,,,,,,
21-0289,13,,,,BC1L2M09,STAIR,,,BC1L2M09,C1B,,,,,,,,,
21-0290,14,,,,BC1L2M06,C1,,,BC1L2M06,C1,,,,,,,,,
21-0291,15,,,,BC1L2M10,C2,,,BC1L2M10,C1B,,,,,,,,,
21-0292,16,,,,BC1L1M01,C2,,,BC1L1M01,C1B.1 (ADA),,,,,,,,,
21-0293,17,,,,BC1L2M08,C1,,,BC1L2M08,C1,,,,,,,,,
21-0294,18,,,,BC1L1M09,STAIR,,,BC1L1M09,C1B.1 (ADA),,,,,,,,,
