Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
22-0059,150,,,,B1L2M05,B1.1.M (ADA),324,BATH/BED,B1L2M05,B1.1.M (ADA),324,BATH/BED,,,,,,,
22-0062,151,,,,B1L2M22,C1.1.M (ADA),212,BED/BATH,B1L2M22,C1,211,BED/BATH,,,,,,,
22-0065,152,,,,B1L2M04,B1.1.M (ADA),224,KITCHEN PEN,B1L2M04,B1.1.M (ADA),224,KITCHEN PEN,,,,,,,
22-0068,153,,,,B1L2M21,C1.1.M (ADA),212,KITCHEN PEN,B1L2M21,C1,211,KITCHEN PEN,,,,,,,
22-0071,154,,,,B1L2M26,S1.1.M (ADA),208,STUDIO,B1L2M26,S1.1.M (ADA),208,STUDIO,,,,,,,
22-0074,155,,,,B1L2M20,C1.1.M (ADA),212,BED/BATH,B1L2M20,C1,211,BED/BATH,,,,,,,
22-0146,1,,,,B1L2M01,STAIR 1,230,STAIR,B1L2M01,CORRIDOR,249,,,,,,,,
22-0147,2,,,,B1L2M02,S1,228,STUDIO,B1L2M02,S1,229,STUDIO,,,,,,,
22-0148,3,,,,B1L3M02,S1,328,STUDIO,B1L3M02,S1,329,STUDIO,,,,,,,
22-0149,4,,,,B1L2M13,C1.1,218,BED/BATH,B1L2M13,C1,219,BED/BATH,,,,,,,
22-0150,5,,,,B1L3M04,B1.1-A.M (ADA),324,KITCHEN PEN,B1L3M04,B1.1-A.M (ADA),324,KITCHEN PEN,,,,,,,
22-0151,6,,,,B1L4M02,S1,428,STUDIO,B1L4M02,S1,429,STUDIO,,,,,,,
22-0152,7,,,,B1L2M03,S1,226,STUDIO,B1L2M03,S1-D,227,STUDIO,,,,,,,
22-0153,8,,,,B1L6M04,B1.1.M (ADA),624,KITCHEN PEN,B1L6M04,B1.1.M (ADA),624,KITCHEN PEN,,,,,,,
22-0154,9,,,,B1L5M02,S1,528,STUDIO,B1L5M02,S1,529,STUDIO,,,,,,,
22-0155,10,,,,B1L3M13,C1.1.M (ADA),318,BED/BATH,B1L3M13,C1,319,BED/BATH,,,,,,,
22-0156,11,,,,B1L5M04,B1.1-A.M (ADA),524,KITCHEN PEN,B1L5M04,B1.1-A.M (ADA),524,KITCHEN PEN,,,,,,,
22-0157,12,,,,B1L6M02,S1,628,STUDIO,B1L6M02,S1.C (HI),629,STUDIO,,,,,,,
22-0158,13,,,,B1L4M04,B1.1-A.M (ADA),424,KITCHEN PEN,B1L4M04,B1.1-A.M (ADA),424,KITCHEN PEN,,,,,,,
22-0159,14,,,,B1L3M01,STAIR 1,330,STAIR,B1L3M01,STORAGE,"363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373",COMMON,,,,,,,
22-0160,15,,,,B1L2M11,C1.1,218,BED/BATH,B1L2M11,C1,219,BED/BATH,,,,,,,
22-0161,16,,,,B1L3M11,C1.1.M (ADA),318,BED/BATH,B1L3M11,C1,319,BED/BATH,,,,,,,
22-0162,17,,,,B1L4M13,C1.1,418,BED/BATH,B1L4M13,C1,419,BED/BATH,,,,,,,
22-0163,18,,,,B1L3M05,B1.1-A.M (ADA),324,BATH/BED,B1L3M05,B1.1-A.M (ADA),324,BATH/BED,,,,,,,
22-0164,19,,,,B1L4M11,C1.1,418,BED/BATH,B1L4M11,C1,419,BED/BATH,,,,,,,
22-0165,20,,,,B1L3M03,S1,326,STUDIO,B1L3M03,S1.1-A.M (ADA),327,STUDIO,,,,,,,
22-0166,21,,,,B1L6M05,B1.1.M (ADA),624,BATH/BED,B1L6M05,B1.1.M (ADA),624,BATH/BED,,,,,,,
22-0167,22,,,,B1L4M05,B1.1-A.M (ADA),424,BATH/BED,B1L4M05,B1.1-A.M (ADA),424,BATH/BED,,,,,,,
