Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
21-0017 (2),1,,,,B1L1M12,S2.1_ADA,120,,B1L1M12,S2.1_ADA,119,,,,,,,,
21-0023 (2),2,,,,B1L5M14,S1,524,,B1L5M14,S1,523,,,,,,,,
21-0038,3,,,,B1L1M20,S1.1_ADA,134,,B1L1M20,S1.1_ADA,133,,,,,,,,
21-0039,4,,,,B1L1M14,S1,124,,B1L1M14,S1,123,,,,,,,,
21-0040,5,,,,B1L2M20,S1.1_ADA,234,,B1L2M20,S1.1_ADA,233,,,,,,,,
21-0041,6,,,,B1L5M18,Bike Storage,550,,B1L5M18,Stair #1,549,,,,,,,,
21-0042,7,,,,B1L3M20,S1.1_ADA,334,,B1L3M20,S1.1_ADA,333,,,,,,,,
21-0043,8,,,,B1L1M21,Main Elec,136,,B1L1M21,S1_HI,135,,,,,,,,
21-0044,9,,,,B1L4M20,S1.1_ADA,434,,B1L4M20,S1.1_ADA,433,,,,,,,,
21-0045,10,,,,B1L1M18,Trash Rm,150,,B1L1M18,Stair #1,149,,,,,,,,
21-0046,11,,,,B1L5M20,S1.1_ADA,534,,B1L5M20,S1,533,,,,,,,,
21-0047,12,,,,B1L1M19,S1.1_ADA,132,,B1L1M19,S2.1L_ADA,131,,,,,,,,
21-0048,13,,,,B1L2M19,S1,232,,B1L2M19,S2L,231,,,,,,,,
21-0049,14,,,,B1L3M07,Flex,310,,B1L3M07,S1,309,,,,,,,,
21-0050,15,,,,B1L3M19,S1,332,,B1L3M19,S2L,331,,,,,,,,
21-0051,16,,,,B1L2M14,S1,224,,B1L2M14,S1,223,,,,,,,,
21-0052,17,,,,B1L4M19,S1,432,,B1L4M19,S2L,431,,,,,,,,
21-0053,18,,,,B1L4M07,Flex,410,,B1L4M07,S1,409,,,,,,,,
21-0054,19,,,,B1L5M19,S1.1_ADA,532,,B1L5M19,S2L,531,,,,,,,,
21-0055,20,,,,B1L2M21,S3,236,,B1L2M21,S1_HI,235,,,,,,,,
21-0056,21,,,,B1L2M16,S1,228,,B1L2M16,S1,227,,,,,,,,
21-0057,22,,,,B1L1M06,Laundry,144,,B1L1M06,Elevator,143,,,,,,,,
21-0058,23,,,,B1L3M16,S1,328,,B1L3M16,S1,327,,,,,,,,
21-0059,24,,,,B1L3M14,S1,324,,B1L3M14,S1,323,,,,,,,,
21-0060,25,,,,B1L4M16,S1,428,,B1L4M16,S1,427,,,,,,,,
21-0061,26,,,,B1L5M04,Unisex Bathrm,539,,B1L5M04,S2L,507,,,,,,,,
21-0062,27,,,,B1L5M16,S1,528,,B1L5M16,S1,527,,,,,,,,
21-0063,28,,,,B1L2M12,S2.1_ADA,220,,B1L2M12,S2.1_ADA,219,,,,,,,,
21-0064,29,,,,B1L3M12,S2.1_ADA,320,,B1L3M12,S2.1_ADA,319,,,,,,,,
21-0065,30,,,,B1L4M04,Unisex Bathrm,439,,B1L4M04,S2L,407,,,,,,,,
21-0066,31,,,,B1L2M17,S1.1_ADA,230,,B1L2M17,S1.1_ADA,229,,,,,,,,
21-0067,32,,,,B1L4M14,S1,424,,B1L4M14,S1,423,,,,,,,,
21-0068,33,,,,B1L3M17,S1.1_ADA,330,,B1L3M17,S1.1_ADA,329,,,,,,,,
21-0069,34,,,,B1L3M06,Laundry,344,,B1L3M06,Elevator,343,,,,,,,,
21-0070,35,,,,B1L4M12,S2.1_ADA,420,,B1L4M12,S2.1_ADA,419,,,,,,,,
21-0071,36,,,,B1L3M21,S3_HI,336,,B1L3M21,S1,335,,,,,,,,
21-0072,37,,,,B1L5M12,S2.1_ADA,520,,B1L5M12,S2.1_ADA,519,,,,,,,,
21-0073,38,,,,B1L1M07,Maintenance,110,,B1L1M07,S1,109,,,,,,,,
21-0074,39,,,,B1L5M17,S1.1_ADA,530,,B1L5M17,S1.1_ADA,529,,,,,,,,
21-0075,40,,,,B1L1M13,S1,122,,B1L1M13,S1,121,,,,,,,,
21-0076,41,,,,B1L4M17,S1.1_ADA,430,,B1L4M17,S1.1_ADA,429,,,,,,,,
21-0077,42,,,,B1L1M05,Trash Rm,142,,B1L1M05,Stair #2,141,,,,,,,,
21-0078,43,,,,B1L1M11,S1,118,,B1L1M11,S1,117,,,,,,,,
21-0079,44,,,,B1L1M15,S1.1_ADA,126,,B1L1M15,S1.1_ADA,125,,,,,,,,
21-0080,45,,,,B1L2M15,S1.1_ADA,226,,B1L2M15,S1.1_ADA,225,,,,,,,,
21-0081,46,,,,B1L4M06,Laundry,444,,B1L4M06,Elevator,443,,,,,,,,
21-0082,47,,,,B1L3M15,S1.1_ADA,326,,B1L3M15,S1.1_ADA,325,,,,,,,,
21-0083,48,,,,B1L2M13,S1,222,,B1L2M13,S1,221,,,,,,,,
21-0084,49,,,,B1L4M15,S1.1_ADA,426,,B1L4M15,S1.1_ADA,425,,,,,,,,
21-0085,50,,,,B1L5M05,Trash Vestibule,542,,B1L5M05,Stair #2,541,,,,,,,,
21-0086,51,,,,B1L2M11,S1,218,,B1L2M11,S1,217,,,,,,,,
21-0087,52,,,,B1L4M21,S3,436,,B1L4M21,S1_HI,435,,,,,,,,
21-0088,53,,,,B1L5M15,S1.1_ADA,526,,B1L5M15,S1.1_ADA,525,,,,,,,,
21-0089,54,,,,B1L2M04,Unisex Bathrm,239,,B1L2M04,S2L,207,,,,,,,,
21-0090,55,,,,B1L3M11,S1,318,,B1L3M11,S1,317,,,,,,,,
21-0091,56,,,,B1L3M13,S1,322,,B1L3M13,S1,321,,,,,,,,
21-0092,57,,,,B1L4M11,S1,418,,B1L4M11,S1,417,,,,,,,,
21-0094,58,,,,B1L3M04,Unisex Bathrm,339,,B1L3M04,S2L,307,,,,,,,,
21-0095,59,,,,B1L1M10,S2.1_ADA,116,,B1L1M10,S3.1_ADA,115,,,,,,,,
21-0096,60,,,,B1L5M21,S3_HI,536,,B1L5M21,S1.1_ADA,535,,,,,,,,
21-0097,61,,,,B1L5M11,S1,518,,B1L5M11,S1,517,,,,,,,,
21-0098,62,,,,B1L1M04,Community,108,,B1L1M04,MPOE-Elec,107,,,,,,,,
21-0099,63,,,,B1L2M10,S2.1_ADA,216,,B1L2M10,S3.1_ADA,215,,,,,,,,
21-0101,64,,,,B1L3M03,S2.1L_ADA,306,,B1L3M03,S1.1_ADA,305,,,,,,,,
21-0102,65,,,,B1L3M10,S2.1_ADA,316,,B1L3M10,S3.1_ADA,315,,,,,,,,
21-0103,66,,,,B1L3M18,Bike Storage,350,,B1L3M18,Stair #1,349,,,,,,,,
21-0104,67,,,,B1L4M10,S2.1_ADA,416,,B1L4M10,S3.1_ADA,415,,,,,,,,
21-0105,68,,,,B1L1M01,Mail Rm,102,,B1L1M01,Office,101,,,,,,,,
21-0106,69,,,,B1L5M10,S2.1_ADA,516,,B1L5M10,S3.1_ADA,515,,,,,,,,
21-0107,70,,,,B1L2M07,Flex,210,,B1L2M07,S1,209,,,,,,,,
21-0108,71,,,,B1L1M09,Main Entry,114,,B1L1M09,S3,113,,,,,,,,
21-0109,72,,,,B1L5M13,S1.1_ADA,522,,B1L5M13,S1.1_ADA,521,,,,,,,,
21-0110,73,,,,B1L2M09,S2,214,,B1L2M09,S3,213,,,,,,,,
21-0111,74,,,,B1L4M18,Bike Storage,450,,B1L4M18,Stair #1,449,,,,,,,,
21-0112,75,,,,B1L3M09,S2,314,,B1L3M09,S3,313,,,,,,,,
21-0113,76,,,,B1L3M01,S1.1_ADA,302,,B1L3M01,S1.1_ADA,301,,,,,,,,
21-0114,77,,,,B1L4M09,S2.1_ADA,414,,B1L4M09,S3.1_ADA,413,,,,,,,,
21-0115,78,,,,B1L2M06,Laundry,244,,B1L2M06,Elevator,243,,,,,,,,
21-0116,79,,,,B1L5M09,S2.1_ADA,514,,B1L5M09,S3.1_ADA,513,,,,,,,,
21-0117,80,,,,B1L1M08,S1.1_ADA,112,,B1L1M08,S1.1_ADA,111,,,,,,,,
21-0118,81,,,,B1L2M08,S1.1_ADA,212,,B1L2M08,S1.1_ADA,211,,,,,,,,
21-0119,82,,,,B1L2M18,Bike Storage,250,,B1L2M18,Stair #1,249,,,,,,,,
21-0120,83,,,,B1L3M08,S1.1_ADA,312,,B1L3M08,S1.1_ADA,311,,,,,,,,
21-0121,84,,,,B1L2M01,S1.1_ADA,202,,B1L2M01,S1.1_ADA,201,,,,,,,,
21-0122,85,,,,B1L4M08,S1.1_ADA,412,,B1L4M08,S1.1_ADA,411,,,,,,,,
21-0123,86,,,,B1L4M05,Trash Vestibule,442,,B1L4M05,Stair #2,441,,,,,,,,
21-0124,87,,,,B1L5M08,S1,512,,B1L5M08,S1,511,,,,,,,,
21-0125,88,,,,B1L2M03,S2.1L_ADA,206,,B1L2M03,S1.1_ADA,205,,,,,,,,
21-0126,89,,,,B1L4M13,S1,422,,B1L4M13,S1,421,,,,,,,,
21-0127,90,,,,B1L1M16,Boiler Rm,130,,B1L1M16,S1,127,,,,,,,,
21-0128,91,,,,B1L4M03,S2.1L_ADA,406,,B1L4M03,S1.1_ADA,405,,,,,,,,
21-0129,92,,,,B1L5M03,S2.1L_ADA,506,,B1L5M03,S1,505,,,,,,,,
21-0130,93,,,,B1L2M02,S2L,204,,B1L2M02,S1_HI,203,,,,,,,,
21-0131,94,,,,B1L2M05,Trash Vestibule,242,,B1L2M05,Stair #2,241,,,,,,,,
21-0132,95,,,,B1L3M02,S2L_HI,304,,B1L3M02,S1,303,,,,,,,,
21-0133,96,,,,B1L4M01,S1.1_ADA,402,,B1L4M01,S1.1_ADA,401,,,,,,,,
21-0134,97,,,,B1L4M02,S2L,404,,B1L4M02,S1,403,,,,,,,,
21-0135,98,,,,B1L5M06,Laundry,544,,B1L5M06,Elevator,543,,,,,,,,
21-0136,99,,,,B1L5M02,S2L,504,,B1L5M02,S1,503,,,,,,,,
21-0137,100,,,,B1L5M01,S1,502,,B1L5M01,S1.1_ADA,501,,,,,,,,
21-0138,101,,,,B1L3M05,Trash Vestibule,342,,B1L3M05,Stair #2,341,,,,,,,,
21-0139,102,,,,B1L1M17,Boiler Rm,130,,B1L1M17,S1.1_ADA,129,,,,,,,,
21-0140,103,,,,B1L1M03,Community,108,,B1L1M03,Office,105,,,,,,,,
21-0141,104,,,,B1L5M07,S1,510,,B1L5M07,S1,509,,,,,,,,
21-0142,105,,,,B1L1M02,Fitness,104,,B1L1M02,Leasing,103,,,,,,,,
