Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
20-0001,1,,,,B1L2M04,,,,B1L2M04,,,,,,,,,,
20-0002,2,,,,B1L3M04,,,,B1L3M04,,,,,,,,,,
20-0003,3,,,,B1L5M32,,,,B1L5M32,,,,,,,,,,
20-0004,4,,,,B1L5M09,,,,B1L5M09,,,,,,,,,,
20-0005,5,,,,B1L2M36,,,,B1L2M36,,,,,,,,,,
20-0006,6,,,,B1L3M36,,,,B1L3M36,,,,,,,,,,
20-0007,7,,,,B1L4M36,,,,B1L4M36,,,,,,,,,,
20-0008,8,,,,B1L5M36,,,,B1L5M36,,,,,,,,,,
20-0009,9,,,,B1L2M28,,,,B1L2M28,,,,,,,,,,
20-0010,10,,,,B1L6M36,,,,B1L6M36,,,,,,,,,,
20-0011,11,,,,B1L2M35,,,,B1L2M35,,,,,,,,,,
20-0012,12,,,,B1L3M35,,,,B1L3M35,,,,,,,,,,
20-0013,13,,,,B1L4M35,,,,B1L4M35,,,,,,,,,,
20-0014,14,,,,B1L5M35,,,,B1L5M35,,,,,,,,,,
20-0015,15,,,,B1L6M35,,,,B1L6M35,,,,,,,,,,
20-0016,16,,,,B1L3M28,,,,B1L3M28,,,,,,,,,,
20-0017,17,,,,B1L2M34,,,,B1L2M34,,,,,,,,,,
20-0018,18,,,,B1L3M34,,,,B1L3M34,,,,,,,,,,
20-0019,19,,,,B1L4M34,,,,B1L4M34,,,,,,,,,,
20-0020,20,,,,B1L5M34,,,,B1L5M34,,,,,,,,,,
20-0021,21,,,,B1L6M34,,,,B1L6M34,,,,,,,,,,
20-0022,22,,,,B1L2M37,,,,B1L2M37,,,,,,,,,,
20-0023,23,,,,B1L4M28,,,,B1L4M28,,,,,,,,,,
20-0024,24,,,,B1L3M37,,,,B1L3M14,,,,,,,,,,
20-0025,25,,,,B1L4M37,,,,B1L4M14,,,,,,,,,,
20-0026,26,,,,B1L5M37,,,,B1L5M14,,,,,,,,,,
20-0027,27,,,,B1L6M37,,,,B1L6M14,,,,,,,,,,
20-0028,28,,,,B1L2M33,,,,B1L2M33,,,,,,,,,,
20-0029,29,,,,B1L3M33,,,,B1L3M33,,,,,,,,,,
20-0030,30,,,,B1L5M28,,,,B1L5M28,,,,,,,,,,
20-0031,31,,,,B1L4M33,,,,B1L4M33,,,,,,,,,,
20-0032,32,,,,B1L5M33,,,,B1L5M33,,,,,,,,,,
20-0033,33,,,,B1L6M33,,,,B1L6M33,,,,,,,,,,
20-0034,34,,,,B1L2M32,,,,B1L2M32,,,,,,,,,,
20-0035,35,,,,B1L3M32,,,,B1L3M32,,,,,,,,,,
20-0036,36,,,,B1L4M32,,,,B1L4M32,,,,,,,,,,
20-0037,37,,,,B1L6M28,,,,B1L6M28,,,,,,,,,,
20-0038,38,,,,B1L6M32,,,,B1L6M32,,,,,,,,,,
20-0039,39,,,,B1L2M39,,,,B1L2M38,,,,,,,,,,
20-0040,40,,,,B1L3M39,,,,B1L3M38,,,,,,,,,,
20-0041,41,,,,B1L4M39,,,,B1L4M38,,,,,,,,,,
20-0042,42,,,,B1L5M39,,,,B1L5M38,,,,,,,,,,
20-0043,43,,,,B1L6M39,,,,B1L6M38,,,,,,,,,,
20-0044,44,,,,B1L2M27,,,,B1L2M27,,,,,,,,,,
20-0045,45,,,,B1L2M41,,,,B1L2M40,,,,,,,,,,
20-0046,46,,,,B1L3M41,,,,B1L3M40,,,,,,,,,,
20-0047,47,,,,B1L4M41,,,,B1L4M40,,,,,,,,,,
20-0048,48,,,,B1L5M41,,,,B1L5M40,,,,,,,,,,
20-0049,49,,,,B1L6M41,,,,B1L6M40,,,,,,,,,,
20-0050,50,,,,B1L3M27,,,,B1L3M27,,,,,,,,,,
20-0051,51,,,,B1L2M31,,,,B1L2M31,,,,,,,,,,
20-0052,52,,,,B1L6M42,,,,B1L6M42,,,,,,,,,,
20-0053,53,,,,B1L3M31,,,,B1L3M31,,,,,,,,,,
20-0054,54,,,,B1L4M31,,,,B1L4M31,,,,,,,,,,
20-0055,55,,,,B1L2M42,,,,B1L3M42,,,,,,,,,,
20-0056,56,,,,B1L5M31,,,,B1L5M31,,,,,,,,,,
20-0057,57,,,,B1L6M31,,,,B1L6M31,,,,,,,,,,
20-0058,58,,,,B1L4M27,,,,B1L4M27,,,,,,,,,,
20-0059,59,,,,B1L2M30,,,,B1L2M30,,,,,,,,,,
20-0060,60,,,,B1L3M30,,,,B1L3M30,,,,,,,,,,
20-0061,61,,,,B1L4M30,,,,B1L4M30,,,,,,,,,,
20-0062,62,,,,B1L4M42,,,,B1L5M42,,,,,,,,,,
20-0063,63,,,,B1L5M30,,,,B1L5M30,,,,,,,,,,
20-0064,64,,,,B1L6M30,,,,B1L6M30,,,,,,,,,,
20-0065,65,,,,B1L2M29,,,,B1L2M29,,,,,,,,,,
20-0066,66,,,,B1L5M27,,,,B1L5M27,,,,,,,,,,
20-0067,67,,,,B1L3M29,,,,B1L3M29,,,,,,,,,,
20-0068,68,,,,B1L4M29,,,,B1L4M29,,,,,,,,,,
20-0069,69,,,,B1L5M29,,,,B1L5M29,,,,,,,,,,
20-0070,70,,,,B1L6M29,,,,B1L6M29,,,,,,,,,,
20-0071,71,,,,B1L2M26,,,,B1L2M26,,,,,,,,,,
20-0072,72,,,,B1L3M26,,,,B1L3M26,,,,,,,,,,
20-0073,73,,,,B1L6M27,,,,B1L6M27,,,,,,,,,,
20-0074,74,,,,B1L4M26,,,,B1L4M26,,,,,,,,,,
20-0075,75,,,,B1L5M26,,,,B1L5M26,,,,,,,,,,
20-0076,76,,,,B1L6M26,,,,B1L6M26,,,,,,,,,,
20-0077,77,,,,B1L2M25,,,,B1L2M25,,,,,,,,,,
20-0078,78,,,,B1L2M20,,,,B1L4M20/B1L3M20,,,,,,,,,,
20-0079,79,,,,B1L3M25,,,,B1L3M25,,,,,,,,,,
20-0080,80,,,,B1L4M25,,,,B1L4M25,,,,,,,,,,
20-0081,81,,,,B1L5M25,,,,B1L5M25,,,,,,,,,,
20-0082,82,,,,B1L6M25,,,,B1L6M25,,,,,,,,,,
20-0083,83,,,,B1L2M12,,,,B1L2M12,,,,,,,,,,
20-0084,84,,,,B1L2M24,,,,B1L2M23,,,,,,,,,,
20-0085,85,,,,B1L3M24,,,,B1L3M23,,,,,,,,,,
20-0086,86,,,,B1L4M24,,,,B1L4M23,,,,,,,,,,
20-0087,87,,,,B1L2M19,,,,B1L2M03,,,,,,,,,,
20-0088,88,,,,B1L5M24,,,,B1L5M23,,,,,,,,,,
20-0089,89,,,,B1L6M24,,,,B1L6M23,,,,,,,,,,
20-0090,90,,,,B1L2M22,,,,B1L2M21,,,,,,,,,,
20-0091,91,,,,B1L3M12,,,,B1L3M12,,,,,,,,,,
20-0092,92,,,,B1L3M22,,,,B1L3M21,,,,,,,,,,
20-0093,93,,,,B1L4M22,,,,B1L4M21,,,,,,,,,,
20-0094,94,,,,B1L5M22,,,,B1L5M21,,,,,,,,,,
20-0095,95,,,,B1L6M22,,,,B1L6M21,,,,,,,,,,
20-0096,96,,,,B1L5M20,,,,B1L6M20,,,,,,,,,,
20-0097,97,,,,B1L4M12,,,,B1L4M12,,,,,,,,,,
20-0098,98,,,,B1L6M19,,,,B1L6M03,,,,,,,,,,
20-0099,99,,,,B1L2M14,,,,B1L2M14,,,,,,,,,,
20-0100,100,,,,B1L5M12,,,,B1L5M12,,,,,,,,,,
20-0101,101,,,,B1L2M13,,,,B1L2M13,,,,,,,,,,
20-0102,102,,,,B1L3M13,,,,B1L3M13,,,,,,,,,,
20-0103,103,,,,B1L3M19,,,,B1L3M03,,,,,,,,,,
20-0104,104,,,,B1L4M13,,,,B1L4M13,,,,,,,,,,
20-0105,105,,,,B1L5M13,,,,B1L5M13,,,,,,,,,,
20-0106,106,,,,B1L6M13,,,,B1L6M13,,,,,,,,,,
20-0107,107,,,,B1L2M18,,,,B1L2M15,,,,,,,,,,
20-0108,108,,,,B1L3M18,,,,B1L3M15,,,,,,,,,,
20-0109,109,,,,B1L6M12,,,,B1L6M12,,,,,,,,,,
20-0110,110,,,,B1L4M18,,,,B1L4M15,,,,,,,,,,
20-0111,111,,,,B1L5M18,,,,B1L5M15,,,,,,,,,,
20-0112,112,,,,B1L6M18,,,,B1L6M15,,,,,,,,,,
20-0113,113,,,,B1L4M19,,,,B1L4M03,,,,,,,,,,
20-0114,114,,,,B1L2M17,,,,B1L2M16,,,,,,,,,,
20-0115,115,,,,B1L3M17,,,,B1L3M16,,,,,,,,,,
20-0116,116,,,,B1L4M17,,,,B1L4M16,,,,,,,,,,
20-0117,117,,,,B1L5M17,,,,B1L5M16,,,,,,,,,,
20-0118,118,,,,B1L2M11,,,,B1L2M11,,,,,,,,,,
20-0119,119,,,,B1L6M17,,,,B1L6M16,,,,,,,,,,
20-0120,120,,,,B1L2M10,,,,B1L2M10,,,,,,,,,,
20-0121,121,,,,B1L5M19,,,,B1L5M03,,,,,,,,,,
20-0122,122,,,,B1L3M10,,,,B1L3M10,,,,,,,,,,
20-0123,123,,,,B1L4M10,,,,B1L4M10,,,,,,,,,,
20-0124,124,,,,B1L5M10,,,,B1L5M10,,,,,,,,,,
20-0125,125,,,,B1L6M10,,,,B1L6M10,,,,,,,,,,
21-0001,126,,,,B1L3M11,,,,B1L3M11,,,,,,,,,,
21-0002,127,,,,B1L2M09,,,,B1L2M09,,,,,,,,,,
21-0003,128,,,,B1L3M09,,,,B1L3M09,,,,,,,,,,
21-0004,129,,,,B1L4M09,,,,B1L4M09,,,,,,,,,,
21-0005,130,,,,B1L6M09,,,,B1L6M09,,,,,,,,,,
21-0006,131,,,,B1L2M08,,,,B1L2M08,,,,,,,,,,
21-0007,132,,,,B1L3M08,,,,B1L3M08,,,,,,,,,,
21-0008,133,,,,B1L4M08,,,,B1L4M08,,,,,,,,,,
