Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X)
25-0626,1,11.33,64.5,730.785,B1L2M52,C1.1-M,210,LIV / KIT,B1L2M52,C1,209,LIV / KIT,,,,,,
25-0627,2,11.33,57,645.81,B1L2M51,C1.1-M,210,BED / BA,B1L2M51,C1,209,BED / BA,,,,,,
25-0628,3,11.33,57,645.81,B1L2M50,A1-C,212,LIV / KIT,B1L2M50,A1,211,LIV / KIT,,,,,,
25-0629,4,11.33,57,645.81,B1L2M37,B1-M,220,BED / BA,B1L2M37,A1,221,BED / BA,,,,,,
25-0630,5,11.33,57,645.81,B1L2M43,A1,216,BED / BA,B1L2M43,A1,217,BED / BA,,,X,,,
25-0631,6,11.33,57,645.81,B1L3M37,B1-M,320,BED / BA,B1L3M37,B1,321,BED / BA,,,,,,
25-0632,7,11.33,57,645.81,B1L4M37,B1-M,420,BED / BA,B1L4M37,B1,421,BED / BA,,,,,,
25-0633,8,11.33,57,645.81,B1L2M67,TRASH / STOR,"C207, C208",COMMON,B1L2M67,B1,201,BED / BA,X,,,,,
25-0634,9,11.33,57,645.81,B1L5M37,B1-M,520,BED / BA,B1L5M37,B1,521,BED / BA,,,,,,
25-0635,10,11.33,57,645.81,B1L6M37,B1-M,620,BED / BA,B1L6M37,B1,621,BED / BA,,,,,,
25-0636,11,11.33,63.5,719.455,B1L2M48,STAIR 1,S1-2,STAIR,B1L2M48,CLUB HOUSE,C214,COMMON,,X,,,,
25-0637,12,11.33,57,645.81,B1L2M38,B1-M,220,LIV / KIT,B1L2M38,A1,221,LIV / KIT,,,,,,
25-0638,13,11.33,57,645.81,B1L3M43,A1,316,BED / BA,B1L3M43,A1,317,BED / BA,,,X,,,
25-0639,14,11.33,57,645.81,B1L3M38,B1-M,320,LIV / KIT,B1L3M38,B1,321,LIV / KIT,,,,,,
25-0640,15,11.33,57,645.81,B1L4M38,B1-M,420,LIV / KIT,B1L4M38,B1,421,LIV / KIT,,,,,,
25-0641,16,11.33,57,645.81,B1L5M38,B1-M,520,LIV / KIT,B1L5M38,B1,521,LIV / KIT,,,,,,
25-0642,17,11.33,57,645.81,B1L6M38,B1-M,620,LIV / KIT,B1L6M38,B1,621,LIV / KIT,,,,,,
25-0643,18,11.33,57,645.81,B1L2M39,B1-M,"220, C218",BED / STOR,B1L2M39,FITNESS,C218A,COMMON,,,,,,
25-0644,19,11.33,57,645.81,B1L4M43,A1,416,BED / BA,B1L4M43,A1,417,BED / BA,,,X,,,
25-0645,20,11.33,57,645.81,B1L3M39,B1-M,"320, C318",BED / STOR,B1L3M39,B1,"321, C318A",BED / STOR,,,,,,
25-0646,21,11.33,57,645.81,B1L4M39,B1-M,"420, C418",BED / STOR,B1L4M39,B1,"421, C418A",BED / STOR,,,,,,
